n 66
m 3
tmax 33.3
-0.500	0.000	0
-7.000	-7.000	35
-7.000	-5.000	35
-7.000	-3.000	35
-7.000	-1.000	35
-7.000	1.000	35
-7.000	3.000	35
-7.000	5.000	35
-7.000	7.000	35
-5.000	-7.000	35
-5.000	-5.000	25
-5.000	-3.000	25
-5.000	-1.000	25
-5.000	1.000	25
-5.000	3.000	25
-5.000	5.000	25
-5.000	7.000	35
-3.000	-7.000	35
-3.000	-5.000	25
-3.000	-3.000	15
-3.000	-1.000	15
-3.000	1.000	15
-3.000	3.000	15
-3.000	5.000	25
-3.000	7.000	35
-1.000	-7.000	35
-1.000	-5.000	25
-1.000	-3.000	15
-1.000	-1.000	5
-1.000	1.000	5
-1.000	3.000	15
-1.000	5.000	25
-1.000	7.000	35
1.000	-7.000	35
1.000	-5.000	25
1.000	-3.000	15
1.000	-1.000	5
1.000	1.000	5
1.000	3.000	15
1.000	5.000	25
1.000	7.000	35
3.000	-7.000	35
3.000	-5.000	25
3.000	-3.000	15
3.000	-1.000	15
3.000	1.000	15
3.000	3.000	15
3.000	5.000	25
3.000	7.000	35
5.000	-7.000	35
5.000	-5.000	25
5.000	-3.000	25
5.000	-1.000	25
5.000	1.000	25
5.000	3.000	25
5.000	5.000	25
5.000	7.000	35
7.000	-7.000	35
7.000	-5.000	35
7.000	-3.000	35
7.000	-1.000	35
7.000	1.000	35
7.000	3.000	35
7.000	5.000	35
7.000	7.000	35
0.500	0.000	0
