n 102
m 3
tmax 13.3
35.000	35.000	0
15.000	30.000	26
55.000	5.000	29
31.000	52.000	27
60.000	12.000	31
8.000	56.000	27
13.000	52.000	36
6.000	68.000	30
21.000	24.000	28
56.000	39.000	36
55.000	54.000	26
16.000	22.000	41
4.000	18.000	35
28.000	18.000	26
26.000	27.000	27
55.000	45.000	13
55.000	20.000	19
55.000	60.000	16
30.000	60.000	16
20.000	65.000	12
50.000	35.000	19
30.000	25.000	23
15.000	10.000	20
10.000	20.000	19
20.000	40.000	12
15.000	60.000	17
45.000	20.000	11
45.000	10.000	18
45.000	30.000	17
35.000	40.000	16
41.000	37.000	16
40.000	60.000	21
35.000	69.000	23
53.000	52.000	11
65.000	55.000	14
5.000	5.000	16
11.000	14.000	18
6.000	38.000	16
47.000	47.000	13
37.000	31.000	14
57.000	29.000	18
36.000	26.000	18
12.000	24.000	13
24.000	58.000	19
62.000	77.000	20
49.000	73.000	25
67.000	5.000	25
57.000	68.000	15
47.000	16.000	25
49.000	11.000	18
49.000	42.000	13
53.000	43.000	14
57.000	48.000	23
15.000	47.000	16
14.000	37.000	11
26.000	35.000	15
18.000	24.000	22
25.000	24.000	20
22.000	27.000	11
25.000	21.000	12
18.000	18.000	17
41.000	49.000	10
35.000	17.000	7
25.000	30.000	3
20.000	50.000	5
10.000	43.000	9
30.000	5.000	8
5.000	30.000	2
45.000	65.000	9
65.000	35.000	3
65.000	20.000	6
64.000	42.000	9
63.000	65.000	8
2.000	60.000	5
20.000	20.000	8
40.000	25.000	9
42.000	7.000	5
24.000	12.000	5
23.000	3.000	7
2.000	48.000	1
49.000	58.000	10
27.000	43.000	9
63.000	23.000	2
53.000	12.000	6
32.000	12.000	7
17.000	34.000	3
27.000	69.000	10
15.000	77.000	9
37.000	47.000	6
37.000	56.000	5
44.000	17.000	9
46.000	13.000	8
61.000	52.000	3
56.000	37.000	6
11.000	31.000	7
26.000	52.000	9
31.000	67.000	3
15.000	19.000	1
22.000	22.000	2
19.000	21.000	10
20.000	26.000	9
35.000	35.000	0
