n 32
m 3
tmax 13.3
10.500	14.400	0
18.000	15.900	10
18.300	13.300	10
16.500	9.300	10
15.400	11.000	10
14.900	13.200	5
16.300	13.300	5
16.400	17.800	5
15.000	17.900	5
16.100	19.600	10
15.700	20.600	10
13.200	20.100	10
14.300	15.300	5
14.000	5.100	10
11.400	6.700	15
8.300	5.000	15
7.900	9.800	10
11.400	12.000	5
11.200	17.600	5
10.100	18.700	5
11.700	20.300	10
10.200	22.100	10
9.700	23.800	10
10.100	26.400	15
7.400	24.000	15
8.200	19.900	15
8.700	17.700	10
8.900	13.600	10
5.600	11.100	10
4.900	18.900	10
7.300	18.800	10
11.200	14.100	0
